test_date,new_positive,issue_date
2021-06-03,0,2021-06-04
2021-06-02,132,2021-06-04
2021-06-01,575,2021-06-04
2021-05-31,320,2021-06-04
2021-05-30,379,2021-06-04
2021-05-29,472,2021-06-04
2021-05-28,774,2021-06-04
2021-05-27,873,2021-06-04
2021-05-26,898,2021-06-04
2021-05-25,989,2021-06-04
2021-05-24,1076,2021-06-04
2021-05-23,518,2021-06-04
2021-05-22,575,2021-06-04
2021-05-21,871,2021-06-04
2021-05-20,920,2021-06-04
2021-05-19,1072,2021-06-04
2021-05-18,1131,2021-06-04
2021-05-17,1210,2021-06-04
2021-05-16,743,2021-06-04
2021-05-15,854,2021-06-04
2021-05-14,1101,2021-06-04
2021-05-13,1136,2021-06-04
2021-05-12,1303,2021-06-04
2021-05-11,1430,2021-06-04
2021-05-10,1599,2021-06-04
2021-05-09,915,2021-06-04
2021-05-08,1002,2021-06-04
2021-05-07,1416,2021-06-04
2021-05-06,1497,2021-06-04
2021-05-05,1673,2021-06-04
2021-05-04,1565,2021-06-04
2021-05-03,1953,2021-06-04
2021-05-02,1081,2021-06-04
2021-05-01,1240,2021-06-04
2021-04-30,1627,2021-06-04
2021-04-29,1627,2021-06-04
2021-04-28,1813,2021-06-04
2021-04-27,1854,2021-06-04
2021-04-26,2097,2021-06-04
2021-04-25,1198,2021-06-04
2021-04-24,1353,2021-06-04
2021-04-23,1812,2021-06-04
2021-04-22,1831,2021-06-04
2021-04-21,1969,2021-06-04
2021-04-20,2109,2021-06-04
2021-04-19,2368,2021-06-04
2021-04-18,1410,2021-06-04
2021-04-17,1546,2021-06-04
2021-04-16,2035,2021-06-04
2021-04-15,2106,2021-06-04
2021-04-14,2371,2021-06-04
2021-04-13,2390,2021-06-04
2021-04-12,2692,2021-06-04
2021-04-11,1552,2021-06-04
2021-04-10,1804,2021-06-04
2021-04-09,2255,2021-06-04
2021-04-08,2255,2021-06-04
2021-04-07,2606,2021-06-04
2021-04-06,2516,2021-06-04
2021-04-05,2870,2021-06-04
2021-04-04,1538,2021-06-04
2021-04-03,1697,2021-06-04
2021-04-02,2215,2021-06-04
2021-04-01,2300,2021-06-04
2021-03-31,2363,2021-06-04
2021-03-30,2419,2021-06-04
2021-03-29,2680,2021-06-04
2021-03-28,1595,2021-06-04
2021-03-27,1664,2021-06-04
2021-03-26,2254,2021-06-04
2021-03-25,2279,2021-06-04
2021-03-24,2665,2021-06-04
2021-03-23,2494,2021-06-04
2021-03-22,2689,2021-06-04
2021-03-21,1608,2021-06-04
2021-03-20,1696,2021-06-04
2021-03-19,2163,2021-06-04
2021-03-18,2195,2021-06-04
2021-03-17,2551,2021-06-04
2021-03-16,2498,2021-06-04
2021-03-15,2893,2021-06-04
2021-03-14,1601,2021-06-04
2021-03-13,1889,2021-06-04
2021-03-12,2484,2021-06-04
2021-03-11,2597,2021-06-04
2021-03-10,2764,2021-06-04
2021-03-09,2802,2021-06-04
2021-03-08,3337,2021-06-04
2021-03-07,1914,2021-06-04
2021-03-06,2187,2021-06-04
2021-03-05,2916,2021-06-04
2021-03-04,2933,2021-06-04
2021-03-03,3190,2021-06-04
2021-03-02,3249,2021-06-04
2021-03-01,3744,2021-06-04
2021-02-28,2160,2021-06-04
2021-02-27,2522,2021-06-04
2021-02-26,3376,2021-06-04
2021-02-25,3447,2021-06-04
2021-02-24,3877,2021-06-04
2021-02-23,4074,2021-06-04
2021-02-22,4765,2021-06-04
2021-02-21,2613,2021-06-04
2021-02-20,3115,2021-06-04
2021-02-19,4226,2021-06-04
2021-02-18,4430,2021-06-04
2021-02-17,5095,2021-06-04
2021-02-16,5684,2021-06-04
2021-02-15,5220,2021-06-04
2021-02-14,3475,2021-06-04
2021-02-13,4409,2021-06-04
2021-02-12,6227,2021-06-04
2021-02-11,6578,2021-06-04
2021-02-10,7500,2021-06-04
2021-02-09,7751,2021-06-04
2021-02-08,9423,2021-06-04
2021-02-07,5134,2021-06-04
2021-02-06,6657,2021-06-04
2021-02-05,9433,2021-06-04
2021-02-04,10151,2021-06-04
2021-02-03,11503,2021-06-04
2021-02-02,12623,2021-06-04
2021-02-01,15252,2021-06-04
2021-01-31,7931,2021-06-04
2021-01-30,10132,2021-06-04
2021-01-29,12822,2021-06-04
2021-01-28,14570,2021-06-04
2021-01-27,15701,2021-06-04
2021-01-26,17887,2021-06-04
2021-01-25,20206,2021-06-04
2021-01-24,10251,2021-06-04
2021-01-23,13434,2021-06-04
